iter	RMSE
0	41922594.13
1	39133773.55
2	36850513.02
3	34655637.98
4	32680155.1
5	31008519.93
6	29602055.01
7	28166874.76
8	26972358.73
9	26020666.44
10	25137771.76
11	24400912.9
12	23643892.54
13	23110188.19
14	22634491.2
15	22186651.07
16	21819227.03
17	21467637.3
18	21176276.66
19	20871686.23
20	20628862.55
21	20404628.18
22	20169707.09
23	19979826.27
24	19786203.75
25	19556652.45
26	19341710.8
27	19159162.32
28	19020683.05
29	18902793.2
30	18759968.59
31	18639781.56
32	18535128.27
33	18455998.06
34	18374530.71
35	18301630.18
36	18248374.13
37	18156463.61
38	18096278.87
39	18048206.94
40	18002790.9
41	17950134
42	17937644.35
43	17881148.86
44	17858438.7
45	17736805.49
46	17709393.49
47	17651521.9
48	17572452.67
49	17499993.02
50	17439933.68
51	17403096.93
52	17349602.09
53	17298100.97
54	17259357.25
55	17237721.4
56	17214467.3
57	17145941.82
58	17084186.67
59	17041892.37
60	16986598.74
61	16936356.56
62	16888634.1
63	16866967.74
64	16808167.21
65	16765426.71
66	16730703.02
67	16644207.69
68	16601938.23
69	16571352.64
70	16501546.91
71	16440355.59
72	16387764.7
73	16363016.7
74	16324616.89
75	16278906.93
76	16248772.95
77	16211510.03
78	16110109.74
79	16063194.02
80	16031072.68
81	15923515.16
82	15884498.92
83	15855787.21
84	15832783.83
85	15792610.6
86	15757015.18
87	15660429.26
88	15633419.04
89	15536836.13
90	15447402.74
91	15409030.41
92	15322019.22
93	15264493.69
94	15240502.34
95	15217537.84
96	15140103.17
97	15105573.54
98	15063424.17
99	15041464.81
100	15014049.28
101	14939063.88
102	14904185.54
103	14881931.4
104	14860299.23
105	14839857.08
106	14820406
107	14802060.83
108	14767854.67
109	14705578.16
110	14687374.09
111	14658228.84
112	14630423.87
113	14565977.44
114	14548782.45
115	14532153.71
116	14498032.79
117	14481353.71
118	14455417.71
119	14391373.06
120	14357744.36
121	14334777.69
122	14294749.97
123	14278798.59
124	14248353.12
125	14218277.7
126	14167731.7
127	14152004.85
128	14133900.89
129	14118854.19
130	14090380.97
131	14060748.39
132	14046017.9
133	14024589.66
134	14008337.83
135	13982031.35
136	13967926.06
137	13954088.82
138	13940374.45
139	13908820.1
140	13879648.21
141	13859155.39
142	13845793.02
143	13832541.34
144	13815006.2
145	13801357.34
146	13781773.03
147	13767499.1
148	13749116.32
149	13736579.12
150	13706616.75
151	13694192.84
152	13681961.74
153	13657476.28
154	13638471.95
155	13626443.75
156	13601563.55
157	13583104.99
158	13530749.2
159	13505354.33
160	13481075.5
161	13461472.03
162	13449634.57
163	13437951.2
164	13419085.41
165	13407583.93
166	13390130.27
167	13367274.4
168	13356041.54
169	13334345.32
170	13316876.17
171	13305739.45
172	13290378.55
173	13238812.16
174	13219106.75
175	13208292.93
176	13192236.1
177	13181462.87
178	13129952.47
179	13109762.61
180	13089654.12
181	13077827.14
182	13067274.17
183	13050048.79
184	13034325.73
185	13016418.14
186	13006182.21
187	12996008.7
188	12985982.83
189	12976131
190	12932654.61
191	12916862.41
192	12898290.58
193	12858387.2
194	12817719.07
195	12781795.09
196	12745279.01
197	12715114.01
198	12699803.87
199	12689814.45
