iter	Passed	Remaining
0	190	37878
1	203	20112
2	213	13992
3	225	11045
4	235	9171
5	246	7979
6	256	7074
7	269	6461
8	281	5975
9	294	5588
10	305	5255
11	318	4983
12	330	4749
13	342	4549
14	354	4372
15	362	4173
16	369	3978
17	374	3782
18	377	3596
19	382	3440
20	386	3295
21	390	3162
22	395	3045
23	400	2935
24	405	2837
25	409	2742
26	414	2657
27	419	2578
28	424	2504
29	429	2435
30	434	2370
31	439	2306
32	444	2249
33	449	2193
34	454	2140
35	458	2089
36	463	2042
37	468	1996
38	473	1952
39	477	1909
40	482	1870
41	486	1831
42	488	1785
43	493	1749
44	495	1706
45	498	1670
46	503	1638
47	507	1608
48	512	1580
49	516	1550
50	521	1523
51	525	1496
52	530	1470
53	534	1444
54	538	1420
55	543	1397
56	548	1375
57	551	1351
58	556	1329
59	560	1307
60	565	1287
61	569	1267
62	574	1248
63	578	1228
64	582	1210
65	587	1193
66	592	1176
67	597	1158
68	601	1141
69	606	1125
70	610	1108
71	614	1092
72	619	1077
73	623	1061
74	628	1046
75	632	1032
76	637	1017
77	641	1003
78	646	990
79	650	975
80	655	962
81	659	948
82	663	935
83	667	922
84	672	909
85	677	897
86	682	886
87	686	873
88	691	862
89	695	850
90	700	838
91	704	827
92	709	816
93	713	805
94	718	793
95	723	783
96	727	772
97	731	761
98	736	751
99	741	741
100	745	730
101	750	721
102	754	710
103	758	700
104	763	690
105	767	680
106	772	671
107	777	662
108	781	652
109	785	642
110	789	633
111	794	624
112	799	615
113	804	606
114	807	597
115	812	588
116	816	579
117	820	570
118	825	562
119	830	553
120	835	545
121	839	536
122	844	528
123	848	520
124	853	512
125	858	504
126	863	496
127	868	488
128	873	480
129	877	472
130	882	464
131	887	457
132	891	449
133	896	441
134	901	434
135	906	426
136	911	419
137	916	411
138	920	404
139	925	396
140	930	389
141	935	382
142	940	374
143	945	367
144	949	360
145	954	353
146	958	345
147	963	338
148	968	331
149	972	324
150	976	316
151	980	309
152	985	302
153	989	295
154	993	288
155	998	281
156	1002	274
157	1006	267
158	1010	260
159	1014	253
160	1017	246
161	1022	239
162	1026	233
163	1031	226
164	1036	219
165	1041	213
166	1045	206
167	1050	200
168	1054	193
169	1059	186
170	1064	180
171	1068	173
172	1073	167
173	1077	161
174	1082	154
175	1086	148
176	1091	141
177	1095	135
178	1099	128
179	1104	122
180	1108	116
181	1113	110
182	1117	103
183	1121	97
184	1125	91
185	1129	85
186	1134	78
187	1138	72
188	1142	66
189	1147	60
190	1151	54
191	1155	48
192	1160	42
193	1164	36
194	1168	29
195	1173	23
196	1177	17
197	1182	11
198	1186	5
199	1190	0
