price,area_sqft,bedrooms,bathrooms,city,location,property_type
49000000.0,2250.0,5,6,Lahore,"Johar Town Phase 1, Johar Town",House
22100000.0,1057.5,2,2,Lahore,"Zameen Opal, Land Breeze Housing Society",Flat
28800000.0,540.0,,,Lahore,Lahore,
53800000.0,2250.0,6,6,Lahore,"Wapda Town Phase 1, Wapda Town",House
38500000.0,2250.0,5,6,Lahore,"DHA Phase 8, DHA Defence",House
11900000.0,900.0,,,Lahore,Lahore,
17000000.0,1125.0,3,4,Lahore,"Formanites Housing Scheme, Lahore",House
55000000.0,2250.0,6,7,Lahore,"Lake City - Sector M-2A, Lake City",House
50000000.0,36000.0,1,1,Lahore,"Bedian Road, Lahore",
21000000.0,13500.0,2,2,Lahore,"Bedian Road, Lahore",
25000000.0,13500.0,2,3,Lahore,"Bedian Road, Lahore",Farm House
19500000.0,6300.0,2,2,Lahore,"Bedian Road, Lahore",Farm House
76800000.0,4500.0,5,6,Lahore,"DHA Phase 7 - Block W, DHA Phase 7",House
75000000.0,2475.0,5,7,Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",House
45000000.0,2250.0,5,6,Lahore,"Bahria Town - Ghaznavi Block, Bahria Town - Sector F",House
46000000.0,2250.0,5,6,Lahore,"Lake City Meadows, Lahore",House
6000000.0,675.0,2,2,Lahore,"Jubilee Town, Lahore",House
23000000.0,1125.0,4,4,Lahore,"Central Park - Block A1, Central Park Housing Scheme",House
4500000.0,450.0,3,3,Lahore,"Military Accounts Housing Society, Lahore",House
30000000.0,922.4999999999999,2,2,Lahore,"Green View Executive Apartments, DHA Phase 5",Flat
24000000.0,1867.5000000000002,3,3,Lahore,"Defence View Apartments, Shanghai Road",Flat
52000000.0,2250.0,5,5,Lahore,"Bahria Town - Quaid Block, Bahria Town - Sector E",House
55000000.0,2250.0,5,5,Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",House
85000000.0,4500.0,5,6,Lahore,"DHA Phase 7, DHA Defence",House
84500000.0,4500.0,5,6,Lahore,"DHA Phase 7, DHA Defence",House
59500000.0,4500.0,8,6,Lahore,"LDA Avenue - Block M, LDA Avenue",House
67000000.0,4500.0,5,6,Lahore,"DHA Phase 1, DHA Defence",House
42500000.0,2250.0,4,5,Lahore,"DHA Phase 2, DHA Defence",House
100000000.0,4500.0,5,6,Lahore,"DHA Phase 7, DHA Defence",House
28800000.0,450.0,,,Lahore,Lahore,Penthouse
73000000.0,4500.0,5,6,Lahore,"DHA Phase 7, DHA Defence",House
24500000.0,1125.0,3,4,Lahore,"Lake City Meadows Phase 1 - Block A, Lake City Meadows Phase 1",House
6490000.000000001,337.5,,,Lahore,Lahore,
16000000.0,1125.0,3,4,Lahore,"Park View City - Crystal Block, Park View City",House
5325000.0,382.5,1,1,Lahore,"Al-Kabir Town - Downtown, Al-Kabir Town",Flat
11800000.0,675.0,3,4,Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",House
